Destination Well,post_id,Well,OD_Value,Volume
A01,mutant1,A01,0.13,133
B01,mutant2,B01,0.125,107
C01,mutant3,C01,0.135,159
D01,mutant4,D01,0.128,123
E01,mutant5,E01,0.125,107
F01,mutant6,F01,0.128,123
G01,mutant7,G01,0.131,138
H01,mutant8,H01,0.139,180
A02,mutant9,A02,0.127,118
B02,mutant10,B02,0.13,133
C02,mutant11,C02,0.13,133
D02,mutant12,D02,0.131,138
E02,mutant13,E02,0.137,170
F02,mutant14,F02,0.135,159
G02,mutant15,G02,0.135,159
H02,mutant16,H02,0.138,175
A03,mutant17,A03,0.126,112
B03,mutant18,B03,0.135,159
C03,mutant19,C03,0.128,123
D03,mutant20,D03,0.127,118
E03,mutant21,E03,0.139,180
F03,mutant22,F03,0.131,138
G03,mutant23,G03,0.127,118
H03,mutant24,H03,0.136,165
A04,mutant25,A04,0.133,149
B04,mutant26,B04,0.131,138
C04,mutant27,C04,0.133,149
D04,mutant28,D04,0.135,159
E04,mutant29,E04,0.129,128
F04,mutant30,F04,0.13,133
G04,mutant31,G04,0.132,144
H04,mutant32,H04,0.122,91
A05,mutant33,A05,0.13,133
B05,mutant34,B05,0.134,154
C05,mutant35,C05,0.127,118
D05,mutant36,D05,0.126,112
E05,mutant37,E05,0.137,170
F05,mutant38,F05,0.133,149
G05,mutant39,G05,0.134,154
H05,mutant40,H05,0.132,144
A06,mutant41,A06,0.133,149
B06,mutant42,B06,0.129,128
C06,mutant43,C06,0.131,138
D06,mutant44,D06,0.128,123
E06,mutant45,E06,0.13,133
F06,mutant46,F06,0.132,144
G06,mutant47,G06,0.137,170
H06,mutant48,H06,0.124,102
A07,mutant49,A07,0.132,144
B07,mutant50,B07,0.127,118
C07,mutant51,C07,0.13,133
D07,mutant52,D07,0.132,144
E07,mutant53,E07,0.133,149
F07,mutant54,F07,0.129,128
G07,mutant55,G07,0.133,149
H07,mutant56,H07,0.129,128
A08,mutant57,A08,0.129,128
B08,mutant58,B08,0.132,144
C08,mutant59,C08,0.128,123
D08,mutant60,D08,0.128,123
E08,mutant61,E08,0.132,144
F08,mutant62,F08,0.132,144
G08,mutant63,G08,0.135,159
H08,mutant64,H08,0.131,138
A09,mutant65,A09,0.123,97
B09,mutant66,B09,0.127,118
C09,mutant67,C09,0.129,128
D09,mutant68,D09,0.132,144
E09,mutant69,E09,0.12,81
F09,mutant70,F09,0.127,118
G09,mutant71,G09,0.124,102
H09,mutant72,H09,0.13,133
A10,mutant73,A10,0.131,138
B10,mutant74,B10,0.129,128
C10,mutant75,C10,0.123,97
D10,mutant76,D10,0.126,112
E10,mutant77,E10,0.134,154
F10,mutant78,F10,0.13,133
G10,mutant79,G10,0.128,123
H10,mutant80,H10,0.136,165
A11,mutant81,A11,0.122,91
B11,mutant82,B11,0.131,138
C11,mutant83,C11,0.133,149
D11,mutant84,D11,0.124,102
E11,mutant85,E11,0.117,65
F11,mutant86,F11,0.118,70
G11,mutant87,G11,0.117,65
H11,mutant88,H11,0.119,76
A12,mutant89,A12,0.13,133
B12,mutant90,B12,0.129,128
C12,mutant91,C12,0.13,133
D12,mutant92,D12,0.128,123
E12,mutant93,E12,0.117,65
F12,mutant94,F12,0.121,86
G12,mutant95,G12,0.118,70
H12,mutant96,H12,0.12,81
